agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,floor12,8675309,p201,EASY,true,keto,7,3,3,53,53,210,12.000,21,7,6
A14,floor12,8675309,p202,EASY,true,none,7,3,0,741,741,21,20.000,105,7,7
A14,floor12,8675309,p203,HARD,true,paleo,7,3,1,116,116,140,12.000,53,7,6
A14,floor12,8675309,p204,HARD,true,none,1,3,2,266,266,5,20.000,6,1,1
A14,floor12,8675309,p205,EASY,true,kosher,1,2,0,459,459,2,20.000,7,1,1
A14,floor12,8675309,p206,HARD,true,none,1,3,2,125,125,20,12.000,8,1,1
A14,floor12,8675309,p207,EASY,true,none,1,3,3,657,493,6,20.000,12,1,1
A14,floor12,8675309,p208,IMPOSSIBLE,false,vegan,1,2,1,20,20,15,12.000,1,1,0
A14,floor12,8675309,p209,HARD,true,none,1,3,0,199,98,3,12.000,2,1,1
A14,floor12,8675309,p210,EASY,true,paleo,1,3,1,167,167,8,16.000,4,1,1
A14,floor12,8675309,p211,IMPOSSIBLE,false,vegan,7,2,2,20,17,140,12.000,5,7,0
A14,floor12,8675309,p212,IMPOSSIBLE,false,vegetarian,1,3,1,72,35,4,12.000,1,1,1
A14,floor12,8675309,p213,EASY,true,none,1,4,1,826,826,5,20.000,23,1,1
A14,floor12,8675309,p214,EASY,true,vegetarian,1,3,3,370,171,12,17.000,8,1,1
A14,floor12,8675309,p215,HARD,true,vegetarian,1,3,2,68,68,25,12.000,4,1,0
A14,floor12,8675309,p216,HARD,true,none,1,5,0,336,164,5,16.000,6,1,1
A14,floor12,8675309,p217,EASY,true,none,1,2,1,456,456,3,20.000,5,1,1
A14,floor12,8675309,p218,EASY,true,vegan,1,3,2,98,94,25,12.000,5,1,1
A14,floor12,8675309,p219,IMPOSSIBLE,false,vegan,1,5,1,48,18,30,12.000,2,1,0
A14,floor12,8675309,p220,IMPOSSIBLE,false,vegan,1,3,3,20,20,30,12.000,1,1,0
A14,floor12,8675309,p221,ROBUSTNESS,true,none,1,9,0,797,797,45,20.000,252,1,0
A14,floor12,8675309,p222,IMPOSSIBLE,false,vegan,7,3,1,20,17,140,12.000,5,7,0
A14,floor12,8675309,p223,EASY,true,kosher,1,3,0,657,657,6,20.000,20,1,1
A14,floor12,8675309,p224,EASY,true,none,1,4,1,426,426,5,20.000,12,1,1
A14,floor12,8675309,p225,EASY,true,kosher,1,3,3,658,658,6,20.000,10,1,1
A14,floor12,8675309,p226,ROBUSTNESS,true,kosher,7,9,1,317,189,350,18.000,419,7,0
A14,floor12,8675309,p227,IMPOSSIBLE,false,vegan,7,3,0,20,20,105,12.000,6,7,0
A14,floor12,8675309,p228,ROBUSTNESS,true,keto,1,5,0,53,53,25,12.000,7,1,0
A14,floor12,8675309,p229,EASY,true,vegan,7,5,1,89,89,210,12.000,72,7,2
A14,floor12,8675309,p230,EASY,true,none,7,2,3,821,279,175,20.000,128,7,2
A14,floor12,8675309,p231,EASY,true,none,1,3,3,564,564,30,20.000,62,1,0
A14,floor12,8675309,p232,EASY,true,halal,7,3,1,758,758,28,20.000,96,7,7
A14,floor12,8675309,p233,ROBUSTNESS,true,none,1,0,0,494,494,0,,1,0,0
A14,floor12,8675309,p234,HARD,true,vegetarian,7,3,0,171,89,21,12.000,8,7,7
A14,floor12,8675309,p235,EASY,true,vegan,1,2,0,169,169,10,16.000,8,1,1
A14,floor12,8675309,p236,EASY,true,none,1,3,2,800,800,5,20.000,17,1,1
A14,floor12,8675309,p237,EASY,true,none,7,5,3,853,853,280,20.000,1239,7,4
A14,floor12,8675309,p238,EASY,true,vegan,1,3,3,98,98,30,12.000,6,1,0
A14,floor12,8675309,p239,HARD,true,paleo,7,2,2,108,29,140,12.000,11,7,0
A14,floor12,8675309,p240,EASY,true,none,1,5,1,910,910,6,20.000,31,1,1
A14,floor12,8675309,p241,EASY,true,none,1,3,3,910,910,12,20.000,22,1,1
A14,floor12,8675309,p242,HARD,true,mediterranean,1,4,2,270,270,6,20.000,6,1,1
A14,floor12,8675309,p243,EASY,true,none,1,3,1,577,577,4,20.000,14,1,1
A14,floor12,8675309,p244,EASY,true,halal,1,5,0,758,336,5,20.000,8,1,1
A14,floor12,8675309,p245,HARD,true,none,7,4,3,168,162,245,16.000,166,7,5
A14,floor12,8675309,p246,EASY,true,none,1,4,0,910,283,4,20.000,10,1,1
A14,floor12,8675309,p247,EASY,true,none,1,3,3,853,774,24,20.000,79,1,1
A14,floor12,8675309,p248,IMPOSSIBLE,false,vegan,1,3,3,12,12,30,12.000,1,1,0
A14,floor12,8675309,p249,HARD,true,keto,7,2,1,28,28,42,12.000,4,7,7
