agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,cap200div2,424242,p097,EASY,true,none,1,3,1,272,272,4,136.000,17,1,1
A14,cap200div2,424242,p098,EASY,true,vegetarian,1,3,0,174,90,15,45.000,19,1,0
A14,cap200div2,424242,p099,EASY,true,none,1,3,2,910,910,5,200.000,179,1,1
A14,cap200div2,424242,p100,IMPOSSIBLE,false,mediterranean,1,3,3,212,105,30,52.000,26,1,0
A14,cap200div2,424242,p101,ROBUSTNESS,true,none,1,3,1,910,910,4,200.000,118,1,1
A14,cap200div2,424242,p102,EASY,true,mediterranean,1,3,1,814,324,4,162.000,50,1,1
A14,cap200div2,424242,p103,IMPOSSIBLE,false,keto,1,4,1,19,5,5,5.000,0,1,1
A14,cap200div2,424242,p104,EASY,true,keto,7,3,1,36,36,140,18.000,22,7,4
A14,cap200div2,424242,p105,EASY,true,kosher,1,3,1,459,241,20,120.000,159,1,1
A14,cap200div2,424242,p106,HARD,true,none,1,3,1,408,390,4,195.000,80,1,1
A14,cap200div2,424242,p107,EASY,true,none,1,3,0,826,826,3,200.000,153,1,1
A14,cap200div2,424242,p108,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,10.000,2,1,0
A14,cap200div2,424242,p109,IMPOSSIBLE,false,none,7,3,0,199,102,105,51.000,222,7,7
A14,cap200div2,424242,p110,EASY,true,none,1,2,0,871,871,2,200.000,94,1,1
A14,cap200div2,424242,p111,EASY,true,carnivore,1,2,0,1,1,10,5.000,0,1,0
A14,cap200div2,424242,p112,EASY,true,vegetarian,7,3,1,217,217,140,108.000,678,7,3
A14,cap200div2,424242,p113,HARD,true,none,1,4,1,306,139,25,69.000,76,1,1
A14,cap200div2,424242,p114,EASY,true,keto,1,4,0,53,53,4,26.000,2,1,1
A14,cap200div2,424242,p115,EASY,true,keto,7,3,1,28,4,140,5.000,2,2,2
A14,cap200div2,424242,p116,EASY,true,none,1,3,2,752,288,5,144.000,33,1,1
A14,cap200div2,424242,p117,HARD,true,none,7,4,1,378,378,35,189.000,738,7,7
A14,cap200div2,424242,p118,HARD,true,kosher,7,3,1,259,141,28,70.000,72,7,7
A14,cap200div2,424242,p119,EASY,true,none,1,2,1,830,830,12,200.000,281,1,1
