persona,tier,diet,satisfiable,dayOfWeek,inTolerance,binding,slots,filled,unfilled,pinnedAny,pinnedMax,pinnedMin,keto,kcalDeltaPct,proteinShortPct,fatShortPct,fatOverPct,carbShortPct,carbOverPct,poolAfterStack
p027,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,4,3,1,1,0,1,false,0.095,0.638,0,0,0,3.551,13
p030,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,4,3,1,2,2,0,false,-0.219,0.483,0,0.059,0,0.087,17
p036,EASY,none,true,1,false,FAT_OUT_OF_BAND,5,5,0,0,0,0,false,0.04,0,0,0.312,0.003,0,332
p036,EASY,none,true,3,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.122,0,0,0.327,0,0.114,332
p036,EASY,none,true,4,false,PINNED_AT_BOUND,5,5,0,2,2,2,false,0.259,0.029,0,0.968,0,0.15,332
p036,EASY,none,true,5,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.123,0,0,0.335,0,0.127,332
p036,EASY,none,true,6,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.07,0,0,0.276,0,0,332
p034,HARD,kosher,true,0,false,PINNED_AT_BOUND,4,4,0,4,4,2,false,0.154,0.155,0,0.115,0,0.635,63
p034,HARD,kosher,true,1,false,CARB_OUT_OF_BAND,4,4,0,1,1,0,false,0.008,0,0,0,0,0.286,63
p034,HARD,kosher,true,6,false,PINNED_AT_BOUND,4,4,0,3,3,2,false,0.138,0.148,0,0.188,0,0.549,63
p045,IMPOSSIBLE,vegetarian,false,0,false,STRUCTURAL,6,3,3,2,2,0,false,-0.153,0.326,0,0,0,0,35
p045,IMPOSSIBLE,vegetarian,false,1,false,STRUCTURAL,6,6,0,5,4,3,false,0.263,0.116,0,0.559,0,0.568,35
p045,IMPOSSIBLE,vegetarian,false,2,false,STRUCTURAL,6,3,3,2,2,0,false,-0.163,0.287,0.081,0,0,0,35
p045,IMPOSSIBLE,vegetarian,false,3,false,STRUCTURAL,6,3,3,1,1,0,false,-0.163,0.288,0.007,0,0,0,35
p045,IMPOSSIBLE,vegetarian,false,4,false,STRUCTURAL,6,3,3,2,2,0,false,-0.145,0.268,0.004,0,0,0,35
p045,IMPOSSIBLE,vegetarian,false,5,false,STRUCTURAL,6,3,3,2,2,0,false,-0.123,0.3,0,0,0,0,35
p049,EASY,vegetarian,true,3,false,PINNED_AT_BOUND,6,6,0,4,2,3,false,0.122,0,0,0,0,1.075,171
p051,IMPOSSIBLE,vegan,false,0,false,STRUCTURAL,3,3,0,0,0,0,false,-0.005,0.765,0,0.334,0,1.175,20
p051,IMPOSSIBLE,vegan,false,1,false,STRUCTURAL,3,3,0,0,0,0,false,0.001,0.75,0,0.972,0,0.344,20
p051,IMPOSSIBLE,vegan,false,2,false,STRUCTURAL,3,3,0,1,1,0,false,0.125,0.648,0,0,0,1.771,20
p051,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,3,3,0,2,2,0,false,-0.45,0.85,0,0,0,0,20
p051,IMPOSSIBLE,vegan,false,4,false,STRUCTURAL,3,3,0,1,1,0,false,0.134,0.666,0,0,0,1.789,20
p051,IMPOSSIBLE,vegan,false,5,false,STRUCTURAL,3,3,0,1,1,0,false,-0.215,0.819,0,0.075,0,0.665,20
p051,IMPOSSIBLE,vegan,false,6,false,STRUCTURAL,3,3,0,0,0,0,false,0.001,0.762,0,0.087,0,1.145,20
